Positive,Negative,Game_name,Positive_Rate,Link
8013,1760,Endless Legend,0.82,https://store.steampowered.com/app/289130/Endless_Legend/
323,17,Devolver Bootleg,0.95,https://store.steampowered.com/app/1066260/Devolver_Bootleg/
765,431,DiRT Rally 20,0.64,https://store.steampowered.com/app/690790/DiRT_Rally_20/
540,104,Attack on Titan 2  AOT2,0.84,https://store.steampowered.com/app/601050/Attack_on_Titan_2__AOT2/
32924,14792,Warface,0.69,https://store.steampowered.com/app/291480/Warface/
27620,5658,Assassins Creed Origins,0.83,https://store.steampowered.com/app/582160/Assassins_Creed_Origins/
3240,618,House Party,0.84,https://store.steampowered.com/app/611790/House_Party/
9696,2425,Empyrion  Galactic Survival,0.8,https://store.steampowered.com/app/383120/Empyrion__Galactic_Survival/
529,368,WWE 2K19,0.59,https://store.steampowered.com/app/817130/WWE_2K19/
9294,1389,Dragons Dogma Dark Arisen,0.87,https://store.steampowered.com/app/367500/Dragons_Dogma_Dark_Arisen/
883,264,Warhammer 40000 Gladius  Relics of War,0.77,https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War/
13624,2596,Scrap Mechanic,0.84,https://store.steampowered.com/app/387990/Scrap_Mechanic/
1207,1477,Generation Zero,0.45,https://store.steampowered.com/app/704270/Generation_Zero/
8469,3133,Total War ATTILA,0.73,https://store.steampowered.com/app/325610/Total_War_ATTILA/
26207,1973,Prison Architect,0.93,https://store.steampowered.com/app/233450/Prison_Architect/
1443,590,Eco,0.71,https://store.steampowered.com/app/382310/Eco/
1797,538,Thief Simulator,0.77,https://store.steampowered.com/app/704850/Thief_Simulator/
586,276,Bloons TD 6,0.68,https://store.steampowered.com/app/960090/Bloons_TD_6/
3348,104,DUSK,0.97,https://store.steampowered.com/app/519860/DUSK/
23461,978,Ori and the Blind Forest,0.96,https://store.steampowered.com/app/261570/Ori_and_the_Blind_Forest/
3493,477,Wizard of Legend,0.88,https://store.steampowered.com/app/445980/Wizard_of_Legend/
5245,1843,MapleStory 2,0.74,https://store.steampowered.com/app/560380/MapleStory_2/
225,53,The Jackbox Party Pack 4,0.81,https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/
3501,185,EARTH DEFENSE FORCE 41 The Shadow of New Despair,0.95,https://store.steampowered.com/app/410320/EARTH_DEFENSE_FORCE_41_The_Shadow_of_New_Despair/
5797,2145,Steam Controller,0.73,https://store.steampowered.com/app/353370/Steam_Controller/
4361,894,Two Point Hospital,0.83,https://store.steampowered.com/app/535930/Two_Point_Hospital/
1208,448,The Universim,0.73,https://store.steampowered.com/app/352720/The_Universim/
9492,1676,Sniper Elite 4,0.85,https://store.steampowered.com/app/312660/Sniper_Elite_4/
8208,1120,Divinity Original Sin  Enhanced Edition,0.88,https://store.steampowered.com/app/373420/Divinity_Original_Sin__Enhanced_Edition/
1285,283,Automation  The Car Company Tycoon Game,0.82,https://store.steampowered.com/app/293760/Automation__The_Car_Company_Tycoon_Game/
14193,7984,SCUM,0.64,https://store.steampowered.com/app/513710/SCUM/
579,38,Reventure,0.94,https://store.steampowered.com/app/900270/Reventure/
683,140,Job Simulator,0.83,https://store.steampowered.com/app/448280/Job_Simulator/
19302,5445,Watch Dogs 2,0.78,https://store.steampowered.com/app/447040/Watch_Dogs_2/
11315,1843,Town of Salem,0.86,https://store.steampowered.com/app/334230/Town_of_Salem/
1470,1357,VEGA Conflict,0.52,https://store.steampowered.com/app/339600/VEGA_Conflict/
1144,402,Foundation,0.74,https://store.steampowered.com/app/690830/Foundation/
6822,2398,Shadow of the Tomb Raider,0.74,https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider/
11976,1481,Golf With Your Friends,0.89,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/
31162,4250,The Witcher 2 Assassins of Kings Enhanced Edition,0.88,https://store.steampowered.com/app/20920/The_Witcher_2_Assassins_of_Kings_Enhanced_Edition/
11076,708,The Elder Scrolls IV Oblivion Game of the Year Edition,0.94,https://store.steampowered.com/app/22330/The_Elder_Scrolls_IV_Oblivion_Game_of_the_Year_Edition/
20626,7247,Company of Heroes 2,0.74,https://store.steampowered.com/app/231430/Company_of_Heroes_2/
